店铺名称,区域,人均消费,菜品分类,口味评分,环境评分,服务评分,分店名称,所在的城市
耕海蟹将军,浦东新区,307,日本料理,9.1,9.2,9.1,置汇旭辉店,上海
Wolfgang’s Steakhouse 沃夫冈牛排馆,北外滩,1026,牛排,9.0,9.1,8.6,,上海
東盛碳烤自助料理,张江,105,自助餐,8.6,8.8,8.5,长泰广场店,上海
宋记黄河楼牛肉面,中山公园,27,面馆,8.2,8.0,7.4,,上海
Mr Nice好好先生餐厅,月星环球港,140,西餐,7.7,8.0,7.7,月星环球港店,上海
亚马逊环球美食百汇,浦东新区,302,自助餐,8.7,8.8,8.9,置汇旭辉店,上海
FLAIR 顶层餐厅酒吧,陆家嘴,385,特色菜,8.3,9.2,8.8,,上海
ORO意大利提拉米苏,淮海路,62,甜品,8.3,8.3,8.5,,上海
GREEN & SAFE,新天地,190,意大利菜,8.6,9.0,8.3,新天地店,上海
YK烧肉居酒屋,打浦桥,179,日本料理,9.1,9.1,9.1,日月光店,上海
电台巷火锅,人民广场,148,重庆火锅,8.9,8.5,8.9,人广旗舰店,上海
超点,八佰伴,117,粤菜馆,8.4,8.9,9.0,陆家嘴中心店,上海
付小姐在成都,静安寺,83,串串香,9.1,8.8,9.0,静安店,上海
人和馆,徐家汇,128,上海本帮菜,9.0,9.2,9.0,肇嘉浜路店,上海
点都德,中山公园,117,粤菜馆,8.8,8.7,8.5,龙之梦店,上海
曼哈顿自助海鲜·精选,虹口足球场,165,自助餐,9.0,8.9,9.0,虹口龙之梦店,上海
心樂麵館,淮海路,56,面馆,8.4,8.4,8.2,进贤路店,上海
翠亭酒家,南京东路,103,上海本帮菜,8.9,7.9,8.7,,上海
蟹家大院,外滩,324,大闸蟹,9.0,9.2,9.2,外滩店,上海
九久超极烧肉,人民广场,166,日式烧烤/烤肉,8.8,8.6,8.2,人民广场店,上海
一緒に寿喜烧,五角场/大学区,176,自助餐,9.1,9.0,8.9,,上海
琵琶蛮·钟鼓馔玉,人民广场,81,淮扬菜,9.0,9.2,9.1,第一百货店,上海
魏记小厨,金桥,54,农家菜,8.3,7.5,8.1,,上海
五月罗马海鲜自助餐厅,月星环球港,139,自助餐,8.3,8.2,8.3,月星环球港店,上海
妈妈家,打浦桥,84,上海本帮菜,8.8,7.8,8.1,,上海
柴府·豆柴咖啡厅体验馆,龙华,124,咖啡厅,8.5,9.0,8.9,,上海
牛New寿喜烧,南京东路,142,自助餐,9.1,9.0,8.9,南京东路步行街店,上海
转角·上海老弄堂,淮海路,146,上海本帮菜,8.5,8.7,8.3,淮海路店,上海
魔丼屋,打浦桥,136,日本料理,8.0,7.9,8.3,日月光店,上海
红盔甲,人民广场,187,小龙虾,9.1,8.8,9.1,人民广场店,上海
Shake Shack,淮海路,101,西式简餐,8.4,8.2,8.7,,上海
金龙蛇料理,四川北路,277,打边炉/港式火锅,8.9,7.7,8.4,武进路店,上海
弦月窗.LUNETTE BY AMANDA,淮海路,436,法国菜,9.0,9.1,9.0,复兴路店,上海
大肠面,老西门,30,面馆,8.5,6.0,6.8,,上海
東發道茶冰厅,人民广场,78,小吃,8.1,8.1,8.1,,上海
荣新馆,虹桥,369,日式自助,9.1,9.1,9.1,兴义路1号店,上海
御宝轩,外滩,373,粤菜馆,9.0,9.1,8.8,益丰•外滩源店,上海
18FUN,南京东路,56,面包烘焙,8.4,8.5,8.8,,上海
Ultraviolet by Paul Pairet,外滩,5799,法国菜,9.2,9.4,9.4,,上海
黄公子,徐家汇,4019,私房菜,9.2,9.2,9.2,,上海
上隐水产海鲜自助餐厅,淮海路,317,自助餐,9.0,8.4,8.7,,上海
浅草六丁目,人民广场,145,日本料理,9.0,8.9,9.0,黄浦店,上海
王宝和大酒店,南京东路,269,自助餐,8.6,8.7,8.7,,上海
滑板鸡skateboard  Chicken,五角场/大学区,80,韩国料理,9.1,9.1,9.3,合生汇店,上海
银子日本料理铁板烧海鲜自助餐,虹桥镇,184,日式自助,8.0,8.0,8.0,龙柏店,上海
蟹黄鱼,新天地,81,面馆,8.6,8.2,8.3,新天地店,上海
汴京茶寮,打浦桥,33,茶饮果汁,8.3,8.3,8.3,打浦桥日月光广场店,上海
GROM,南京西路,46,冰淇淋,8.6,8.7,8.7,,上海
香港華心糖水鋪,南京西路,72,甜品,7.8,7.8,7.9,,上海
谭鸭血老火锅,世纪大道,142,四川火锅,8.6,8.3,8.4,世纪汇店,上海
春在,陆家嘴,153,上海本帮菜,8.7,8.5,8.0,,上海
映水芙蓉,淮海路,167,川菜家常菜,9.1,9.2,9.2,百盛淮海路店,上海
很久以前羊肉串,中山公园,133,烧烤,9.2,9.2,9.3,中山公园店,上海
曹胖子龙虾馆,龙柏地区,151,小龙虾,8.4,7.2,7.5,黄桦路店,上海
太二酸菜鱼,世纪大道,96,酸菜鱼/水煮鱼,9.0,8.9,9.0,世纪汇店,上海
哥老官重庆美蛙鱼头,人民广场,142,重庆火锅,9.1,8.5,8.9,人民广场店,上海
元朗冰室,淮海路,87,茶餐厅,8.1,8.0,7.9,,上海
桂满陇-枕水江南,人民广场,86,浙菜,8.7,9.1,8.8,人民广场世茂店,上海
火烧云傣家菜,静安寺,106,云南菜|滇菜,8.5,8.7,9.0,静安店,上海
威尼斯海鲜自助餐厅,中山公园,128,自助餐,8.4,8.3,8.3,舜元天地店,上海
